Sales_Volume,Marketing_Spend,Price_Index,Customer_Income,Competitor_Price,Product_Quality_Score,Social_Media_Mentions,Economic_Indicator,Advertising_Frequency,Seasonal_Index,Store_Traffic
962.8005,0.8339,0.1777,-0.0702,0.4592,0.3802,0.5314,-1.6443,-3.3082,2.055,-0.7968
1006.8741,-0.0993,-0.7513,-1.9546,-0.2724,0.1311,-0.172,-7.0936,9.5595,-5.7923,-4.0317
926.7684,-1.3453,-0.6287,0.5053,-0.2812,-1.4816,-0.7681,-3.978,-5.6233,0.7056,-5.4725
1192.1834,-1.0884,-2.1098,1.7509,2.5605,-0.6865,-1.2611,-2.8016,-1.6144,6.025,4.6156
1180.0712,0.6928,0.6523,0.8614,1.1058,0.4803,0.5112,4.3298,-0.0332,1.2805,0.9201
1070.355,-0.7812,2.1699,1.5985,-0.2598,-1.8518,0.2935,1.7648,-5.2272,4.4917,-1.3712
917.0569,-1.2258,-0.2574,0.2245,-1.4644,0.3992,-0.5925,1.4151,-1.3312,0.3889,-2.6026
937.1889,0.0002,-0.6947,-0.3279,-0.0093,-0.5241,-0.2562,4.2689,1.7396,4.8705,-2.3484
1084.5286,-0.1943,-1.1618,1.0487,-0.7558,-0.3009,-0.4642,-0.5352,-2.8738,1.6478,5.6235
940.6437,-0.7725,0.0397,-1.5138,-0.058,0.4613,-0.485,1.7818,-1.3913,-4.4606,-2.1272
828.7128,-0.6047,-1.8766,0.8971,-2.2056,-0.6354,-0.985,0.151,-3.8363,1.4081,-7.3297
1048.4432,-0.3999,0.0684,-0.105,-0.7452,0.3316,-0.0982,1.4931,-8.6195,-4.4345,5.4293
856.0678,-0.9825,0.1799,0.5501,-0.2246,0.9183,-0.3017,-2.8484,0.0375,-2.2236,-2.014
1027.6792,0.3919,0.8678,0.6507,-1.0346,-0.8898,0.4491,-11.883,7.8139,1.6437,0.4111
915.044,-0.8977,-0.1289,-0.3754,-0.6375,0.4854,-0.3871,-0.4391,-0.7571,0.755,8.3436
1055.9866,-0.7971,-0.9984,0.4349,0.0409,1.9914,-0.6619,7.1417,1.5192,-6.5153,1.4876
984.4408,-0.2746,0.3351,-0.6891,-0.4572,-0.2121,-0.1013,4.6651,4.0058,5.2722,1.108
1141.3412,0.057,1.3282,1.5285,0.2686,0.4559,0.4631,5.0474,-4.1817,3.7879,-6.5381
912.6392,-1.0651,-0.025,-0.6095,-0.3052,1.3902,-0.3863,6.198,9.0704,-4.8355,-1.088
874.3165,-1.0142,-0.9634,-0.2323,0.339,-1.7569,-0.7997,0.3028,-0.2573,-7.8477,2.1588
956.684,-1.2374,0.842,1.3286,0.1094,-2.907,-0.2097,1.0912,7.7845,-2.3558,-8.8154
967.0579,-2.1961,0.3017,0.143,-0.1621,-1.8438,-1.2695,-2.9114,-4.5555,-1.6934,0.9401
1137.0834,-1.4972,-0.459,0.6937,0.7265,0.2187,-0.8041,-1.709,8.9235,-0.4123,0.492
955.4874,-0.3452,-0.216,0.6864,0.4893,1.6351,-0.2287,2.9137,5.1875,-2.0693,-0.8857
1154.45,0.532,0.3386,1.7612,0.3617,0.2166,0.3377,6.2203,1.7394,-8.9759,6.2866
1084.5014,0.4185,-1.2774,0.923,-0.4967,1.2696,-0.1648,-0.2136,-0.075,-2.0853,3.0298
991.1782,-1.1275,0.0444,0.1545,1.1279,0.4947,-0.7492,-2.4734,-0.8592,-0.5222,6.9811
875.4398,-0.2427,1.146,-0.4548,-1.89,1.5588,0.2005,0.4438,4.4722,2.7956,-3.3383
989.6558,-0.4808,0.0226,-0.5177,0.6962,-0.985,-0.1979,2.6587,0.9005,-4.0701,0.6006
1099.8478,1.3632,-0.0463,-0.4889,-0.3036,0.0619,0.8155,-7.2581,-10.7629,6.8959,0.2321
973.8168,1.0103,-0.1761,1.3785,-0.0444,-0.1309,0.4005,-10.9842,-4.4577,-10.364,-6.2221
887.7058,-0.7076,0.8468,-0.1107,-0.7122,-0.0991,-0.1806,-2.523,-1.532,7.0259,5.2137
1029.1257,-1.0556,1.2921,-1.2324,-0.3537,1.3155,-0.1904,-6.2009,1.7605,1.3793,11.4629
1068.242,-0.982,2.3059,0.385,-0.6867,0.7964,0.2923,-2.1547,1.381,5.1576,-0.4099
1050.9399,-1.9983,1.4336,0.4958,-0.7053,0.6622,-0.5362,-0.4043,4.5962,1.7001,3.7193
751.9874,-1.4481,-0.8222,-0.7184,-1.4075,0.245,-1.0237,-2.0136,-10.2625,5.9298,-0.0484
1174.5529,1.2428,0.2093,0.0659,0.7272,-0.4327,0.7355,7.0377,1.1104,-3.1462,-4.4941
1043.7459,-0.5801,-0.9162,0.4997,0.2394,-0.0672,-0.5552,1.6547,-9.8057,-4.0059,-8.4217
1070.6076,-1.2844,0.4395,0.4914,1.4759,-1.8038,-0.4135,1.1542,4.13,6.4223,-3.1643
829.0091,-0.9546,-1.7106,-0.5062,0.5182,-1.568,-1.0607,2.9271,-1.9648,-1.4896,-7.9611
987.4555,-0.8109,-1.1115,-0.234,-1.2576,0.4982,-0.7716,-5.3585,3.2382,0.0927,10.1011
938.7694,-0.8359,-0.8065,2.7684,-1.0959,-0.4351,-0.6991,6.1513,-5.6343,5.6984,-0.3565
819.1459,-1.6885,-0.8221,0.6709,-1.12,-0.5694,-1.2372,0.0833,6.2733,-5.1696,-2.7938
974.7122,-0.1979,0.5027,-1.8317,2.0679,-0.9657,0.0815,2.3736,6.8378,1.8036,3.864
787.8234,-2.0778,-1.6892,1.6434,-0.3203,-1.9755,-1.5196,-5.1343,3.6688,-2.921,-7.6738
1146.4072,1.1359,0.1434,-0.162,-0.154,-1.2512,0.6115,-7.6634,-2.1801,-1.2726,-2.2549
1018.1179,-0.5141,-2.1147,1.2562,0.8977,0.0632,-0.9149,4.106,2.6234,-1.4543,-0.8182
854.8336,-0.5358,-1.0294,-1.1165,-1.7074,-1.5224,-0.7182,2.2708,-2.4218,-5.9674,4.5146
742.3344,0.551,0.4091,-0.3008,-0.7335,-1.3499,0.3562,-4.64,3.8226,-4.793,1.1612
1274.1905,-0.3231,1.424,0.9752,1.3356,-0.0292,0.2314,-4.3451,8.3867,5.2546,2.3525
978.0301,0.9778,-0.0914,1.1536,-2.1056,0.0523,0.3813,6.4756,4.2924,3.1464,-0.3264
1057.3319,1.2783,0.2167,-0.1933,-0.0608,0.4033,0.688,-5.8567,-5.4737,-1.7976,1.6997
992.0046,0.4933,-0.9232,-0.8584,0.1848,-0.9759,0.0101,7.8823,2.8607,3.848,0.0589
1076.1938,-0.0539,-1.1819,1.1219,-0.9823,2.086,-0.1929,-3.9228,-7.4805,-1.0548,-5.5113
1021.0831,0.9154,-0.2197,-0.5298,0.3288,1.4779,0.4093,2.882,2.3437,6.2812,-0.5781
898.8179,-0.3995,-0.5523,-0.0633,0.1292,2.2919,-0.3397,-1.7569,4.1205,0.5804,-6.5305
1061.97,-1.032,-0.0579,1.2881,-0.4403,-0.1859,-0.5408,3.597,-10.9485,-0.0753,2.6825
845.7637,0.2079,1.8691,-1.6032,0.1326,-1.6651,0.4728,-3.1001,-7.8107,5.067,-2.5537
875.2004,0.2089,-0.6017,-1.3282,-1.9597,-0.0135,-0.0787,-0.47,-2.4734,-5.1077,13.5195
786.6618,-0.5984,-0.1321,-0.0681,-0.9666,-1.3586,-0.3328,0.568,-2.584,7.6927,-2.2213
974.3737,0.5303,-0.3023,-1.0575,0.3045,-0.9358,0.4208,-5.2642,-7.1233,-5.6067,-8.1444
933.9966,-0.4646,0.4037,0.2833,0.2012,-0.9037,-0.1304,3.7155,2.2693,9.3359,-1.8499
950.4181,0.3261,-0.361,0.924,-1.2511,-1.0811,0.0849,-1.9694,1.8733,-2.1729,3.1899
921.2744,-0.4594,0.3385,0.8303,-0.8498,0.6328,-0.1316,-0.4816,1.2993,-0.9653,8.5487
1122.3381,-0.2588,0.5463,0.5609,1.5986,-0.4364,-0.0824,-5.3449,-3.8886,-9.8201,-3.0356
1078.8439,-1.4763,0.187,-0.6333,1.8056,-0.729,-0.5678,-13.4599,5.0545,-3.0888,-7.7318
1061.102,0.5737,0.4665,-1.2883,-1.2763,0.5223,0.502,-0.7248,8.1791,-4.31,6.3566
1139.275,0.8117,1.6815,2.9354,0.3319,0.1473,0.9894,12.6611,-3.0983,-2.5285,-6.288
1141.8787,-1.4242,1.4538,-0.6412,1.9116,-0.7216,-0.3669,3.34,-2.922,0.1115,-1.3493
955.5382,-0.8255,-0.0122,0.4129,-0.3214,0.0758,-0.2761,0.1466,1.7789,4.6419,-0.313
906.6165,0.0122,0.7664,-1.2715,-0.0929,0.4608,0.0958,-1.6552,-3.3125,0.4829,0.4498
1086.8527,-0.3693,1.0599,-1.7762,0.1434,0.6836,0.192,-0.1226,-2.0629,1.7996,4.6578
787.5303,-0.7833,-1.5507,0.8135,-0.3221,-1.0623,-0.6378,2.8803,4.1719,-3.9277,-4.3376
849.6906,-0.5889,0.2956,-0.6079,-0.8373,1.4769,-0.3048,-5.7442,-10.7146,-5.5011,-1.1519
959.7587,0.193,-0.4577,-1.565,1.6765,-1.1098,-0.0974,4.6802,6.9148,9.1976,-1.6189
1059.5635,0.9971,0.4731,-1.1298,1.1274,-0.2378,0.6504,3.0063,0.8298,-4.7555,1.2687
1057.6484,-0.8577,-0.6392,0.5557,-0.3848,0.6868,-0.671,3.8504,-2.6993,8.8727,-0.0802
983.5958,-0.0093,-1.5428,1.8134,0.307,-0.4842,-0.6226,2.4951,-1.4124,-0.7238,2.0047
971.321,-0.8344,-1.0296,0.6883,-0.2346,-1.7189,-0.7192,0.3483,0.8591,-0.5095,4.2658
953.7675,1.2377,-0.2025,-0.968,0.3798,1.0361,0.4518,3.2181,-10.079,4.9543,0.993
961.7884,0.9136,-0.1002,1.4927,-0.8032,-0.878,0.4741,3.5439,6.6478,6.7268,2.0414
1088.7442,-0.6443,1.9003,1.1861,-2.7391,1.6435,0.156,-0.7356,0.5978,-1.278,-6.7436
906.3806,-0.6118,0.0436,-0.4293,-0.037,-0.6226,-0.1378,-2.8463,2.4096,-3.2612,-0.4913
1187.3502,-0.3433,-0.3751,1.1572,1.1422,-0.788,-0.3625,0.517,5.4147,-1.6569,3.8314
1142.8522,2.4852,-1.1195,1.2754,0.2648,0.1787,0.8745,7.798,-3.8766,0.8393,4.2478
1053.3425,0.6724,1.2523,1.181,0.1667,0.6441,0.7932,-5.9496,2.4493,3.5958,-5.2141
877.806,-1.5709,0.697,-1.1939,-1.1268,1.1731,-0.6994,-7.1683,-0.9686,0.4689,-3.4025
796.5644,0.3824,-1.5681,-0.3971,-1.3122,-0.3934,-0.2565,1.1083,3.4714,2.7008,-3.6309
1094.6839,-0.5785,1.1167,-0.0584,-0.0775,0.4989,0.1765,0.4036,-10.9783,8.7293,2.8771
1230.5767,0.6067,1.0519,0.5345,-0.1832,-0.384,0.4582,1.0136,-0.2453,5.0165,7.1651
962.347,-0.9905,0.791,0.0997,-0.5663,1.4028,-0.2395,1.4221,-4.416,3.7487,-1.4504
1247.1158,-0.6076,0.7864,1.4478,1.5682,-2.833,-0.0419,-1.3142,3.5205,-9.3375,5.3003
928.639,-0.7956,1.2208,1.2795,0.4244,1.712,0.0467,7.5795,0.6026,-12.6782,1.0522
1048.2914,0.731,0.2791,-2.0903,-0.6507,-1.6907,0.3255,-8.337,-4.5166,1.6363,2.1338
1081.8687,-0.8357,0.0493,0.8672,1.0972,-0.3653,-0.5351,-4.4422,-1.1729,-0.7471,-0.8769
936.6731,1.6286,-1.1833,-1.7034,-1.3801,-0.2694,0.5115,-0.2835,0.1642,-2.4998,5.2354
1043.6871,-0.7982,0.8093,-1.2895,1.0185,-1.5257,-0.1266,-8.8641,-5.0802,0.7499,2.448
802.9836,-1.693,0.7589,-0.9886,-0.0983,0.1042,-0.5938,-1.1466,4.1473,-0.5827,10.6252
918.2666,-0.1601,-2.0102,0.0565,-0.2434,1.8076,-0.6485,8.1763,-0.2046,7.3018,-4.1953
1072.0548,-0.2942,-1.5002,-0.2004,1.3566,1.3511,-0.6652,-0.4065,-13.6487,0.6737,2.5279
1025.9328,0.6443,-0.1118,0.5233,0.1465,-1.1679,0.3118,1.0819,-2.2025,-3.168,-1.5383
828.2578,1.2305,-0.4012,0.4458,0.5275,0.928,0.5242,-6.2057,-4.9842,4.9691,-6.7009
776.6239,0.1868,-1.8409,-0.6115,-0.7554,-0.6248,-0.5303,-2.8765,-8.1303,-1.8114,0.4633
1035.2993,0.6079,-0.3078,-0.4464,0.1866,0.2494,0.3982,-2.0901,-4.6097,2.9117,0.5915
867.9099,-0.3584,-1.5327,1.1765,-1.225,0.9724,-0.5916,-0.7605,1.4198,-4.1081,14.9539
935.9586,0.4,-3.9224,0.837,0.1659,-1.4248,-1.0959,6.624,6.4308,-1.6617,-1.2228
879.8425,0.95,-1.3902,-1.5327,0.243,-1.0974,0.1236,2.3765,0.089,1.6127,-6.3903
993.9764,2.7108,-0.4769,-0.8775,-0.0637,-1.4605,1.1149,-5.9636,-1.8413,-1.6519,2.0402
1041.6034,0.3105,2.0487,-1.1569,-1.1273,-0.5568,0.8486,1.5684,2.3122,2.7986,-9.2358
1157.1959,-1.1211,-1.1241,2.0372,1.3801,-1.6873,-0.7819,2.3456,-1.4642,-1.0161,0.4118
801.4498,0.6405,-0.5315,-0.1131,0.1231,0.3467,0.0788,5.4767,-0.9614,-9.2141,-1.76
1139.6545,1.1535,-1.0504,0.4355,1.1626,-0.1035,0.358,7.7433,-6.2614,0.4728,4.0149
965.5243,-1.4724,0.3608,-0.5746,0.734,0.5558,-0.5867,-5.1666,-8.9857,5.9776,4.4377
908.3912,0.7736,-0.4846,-0.1267,-0.4957,-1.0757,0.3236,-3.7925,-1.613,-0.4402,-2.9755
879.1771,-1.4668,-0.9457,0.9753,-0.5014,-1.3171,-0.8274,-5.886,1.5663,-1.9844,-1.7553
977.0055,0.879,1.1403,-0.1822,-0.9465,0.4187,0.757,-0.8631,-0.4971,5.8171,-4.1641
912.9315,-0.2759,1.058,0.5665,-1.2244,-1.7682,0.1041,2.8978,-2.3805,-3.8929,-5.177
1085.6453,0.0282,-0.6681,1.0859,-0.0091,-0.175,-0.2753,5.2325,-5.4845,-8.6125,2.086
1122.3896,1.1598,-0.3308,-1.0259,-0.506,0.1495,0.3991,-0.405,3.812,0.0241,-3.9862
795.0048,-0.4915,0.2864,-1.7681,-0.627,0.939,-0.1676,-1.7543,-8.1154,-2.24,-3.5674
1039.8027,-0.7141,0.3327,-0.2995,1.1784,-0.2473,-0.2231,0.3391,4.2134,-4.1637,-3.6767
1239.657,2.0359,1.6892,-0.492,0.469,1.2239,1.5524,-4.4902,-5.2087,-2.5481,2.3832
1072.181,0.9603,1.8555,-1.1794,0.4625,-0.3464,1.1195,10.045,-5.3737,2.1211,8.7445
832.6086,-0.4685,0.8688,1.3509,-0.7588,0.5879,0.0277,-7.7098,-6.7142,0.0465,-8.4193
1057.5317,-0.0559,-0.2431,0.8913,0.338,1.0704,0.0445,0.9907,-1.2351,1.1467,-9.3759
983.767,-1.6151,0.7943,-0.7346,1.1647,0.2936,-0.5958,9.5228,3.52,9.0314,-0.158
1028.1212,1.6699,-0.1385,-1.1959,0.3947,-0.209,1.0654,-0.4339,1.7276,-1.1258,-0.502
673.6497,0.5136,0.1409,-1.1699,-0.5327,0.3232,0.3616,-1.0064,4.7445,-0.203,0.6273
858.4069,-0.4606,0.7385,0.3436,1.0571,-0.1156,-0.0945,-1.8964,2.3096,-3.2659,-3.7101
1043.6473,0.2106,1.0072,1.5927,-0.4885,0.0262,0.3004,-0.345,-5.8219,-7.4022,-1.0841
822.3503,-0.3871,-0.6059,0.0254,-0.0454,1.9925,-0.3271,6.7259,-2.4206,-2.065,1.288
1237.767,1.0895,0.6817,-1.4387,2.3654,-1.2262,0.7269,-12.1556,-1.7043,-2.3955,5.9696
911.33,0.3504,1.3697,0.1025,-0.8443,1.2554,0.6575,8.035,7.5987,0.6646,-10.6758
1039.5494,-1.2996,-0.7217,0.8114,0.8297,-0.5467,-0.819,-7.3047,-6.2556,13.0858,-0.1712
848.9827,0.4862,-0.2656,-2.0504,-1.9494,-0.1146,0.1561,-1.181,4.7328,-4.8442,0.9189
1071.9165,0.6158,0.9654,-0.1394,1.2039,0.0887,0.5128,-2.4803,4.6621,-2.3992,-5.2075
770.2261,-0.107,-0.0627,-0.5536,-1.0352,-0.9857,-0.2238,3.0458,9.6521,-1.1085,8.1256
1136.5705,2.1851,-1.2361,1.6239,-0.6867,0.731,0.6771,-7.4493,-1.51,4.3734,-2.4613
1118.94,-0.8811,0.6032,1.1867,-0.7122,0.6387,-0.1739,2.6285,4.6197,1.4658,0.1612
747.7578,-1.0512,0.7031,-0.2271,-2.5318,0.1654,-0.2933,10.7755,10.0262,7.2623,2.2965
1038.8981,-0.7633,0.076,0.6833,0.0379,0.4822,-0.4834,-6.6586,-4.3259,-11.2447,-2.0873
830.6019,-0.8148,1.1032,-1.2498,0.1762,0.219,-0.0591,0.4864,-8.517,-11.2505,-11.6682
987.6497,1.763,-0.8796,-1.7152,-0.5077,-0.223,0.6561,-3.4566,-9.118,-2.0458,-2.2961
551.9069,0.5232,-1.5449,-2.0173,-1.2203,0.3864,-0.2903,2.0901,4.4013,2.5722,4.468
1162.1532,1.1591,0.6102,0.4255,-0.3363,-0.5865,0.778,0.337,-9.1915,-9.8782,-0.9699
825.5283,1.0159,0.9854,-1.4852,-0.4034,0.1765,0.8094,-3.3611,-1.4104,-15.8289,-4.3053
972.6048,0.323,1.1806,0.5002,-0.061,0.0452,0.4014,2.6941,2.2378,1.4834,4.1266
1115.1346,0.8707,-2.6248,0.1307,0.9488,0.531,-0.3163,8.7758,1.0748,3.5619,-0.4723
992.4314,-1.4024,-1.3154,-0.0224,2.0911,-0.2769,-1.0397,-1.6293,1.4555,-6.0061,-3.805
906.4256,-0.3191,-1.8752,1.076,-0.796,-0.1601,-0.6138,4.065,1.7828,-5.6797,0.9605
1026.2316,0.3461,0.8942,2.0642,0.492,-0.2645,0.5467,-6.1468,6.7601,-7.2336,1.9122
1245.1434,1.1672,1.6011,-0.685,1.5884,-0.1546,0.9262,-5.3908,-6.5749,0.6543,11.8892
1126.7658,0.4201,0.1752,2.0565,0.6069,0.3675,0.1688,2.5953,-3.6985,-2.6489,5.058
1115.3539,-0.9858,0.034,1.1948,-0.2842,-0.1791,-0.4312,7.6746,-3.4675,3.205,6.4921
773.159,-0.3631,0.572,-0.3883,-2.0075,-1.5376,0.0414,2.2363,4.0061,-14.16,-2.9758
905.6378,2.0562,0.5383,-0.2213,-1.1032,-0.365,1.2411,-1.4188,3.6628,-6.2506,-6.1741
943.8431,2.0847,-0.7405,-0.3398,-1.0079,0.1514,1.2055,0.4058,2.5546,-4.9232,-0.4709
1188.6048,-0.1756,-0.5353,0.0981,0.6687,-0.731,-0.1913,-6.5574,6.6754,0.5669,1.2214
723.7696,-1.0128,-0.4634,-0.908,0.3142,0.242,-0.5319,2.6774,-7.8035,-3.2525,-7.1175
1091.9728,0.5102,-0.0827,0.1263,1.2726,0.9513,0.3257,3.9833,8.863,3.791,-1.0673
1193.3104,0.0231,-0.4358,0.1934,0.6249,-0.4778,-0.0541,-2.3197,7.5716,-11.2308,3.3388
847.6219,1.864,0.1739,-0.6996,-2.1414,-1.6192,0.9527,-1.8772,4.3078,0.7843,1.536
865.5848,1.8566,-0.2563,0.3245,-0.4818,0.7978,0.9273,1.6636,7.0497,3.35,2.5669
783.4954,-1.632,0.6138,-1.807,-0.9049,0.1676,-0.7092,-2.3409,-7.1209,10.1781,0.9152
910.8796,-0.5622,-1.1057,-1.6834,-0.2092,-0.308,-0.6365,-0.5767,-1.8426,-1.0131,-1.2247
1121.4719,-0.8966,-0.1021,1.4917,0.5734,0.4006,-0.5275,10.5414,-4.4646,1.2552,-2.1131
836.8994,1.3304,0.1666,-1.3401,-0.1206,-1.1942,0.7234,-1.2525,2.5948,-9.5685,-7.9302
836.7423,0.0022,-0.3246,-0.4625,-1.3751,0.1031,0.1352,-1.5904,-5.2267,-12.2593,8.1732
1109.3743,0.5793,-0.1449,-0.6281,1.412,1.0228,0.0595,-3.756,3.597,3.9427,-0.5068
925.2124,-0.0515,0.8227,-0.1152,0.3754,0.1803,0.2897,3.6487,5.8965,1.2172,-1.7151
1044.9097,1.5579,-0.246,-1.3449,0.9926,0.5871,0.5439,-1.4315,3.4826,5.0836,-4.1015
933.9869,0.8224,1.041,0.552,-0.837,0.4806,0.6763,-2.9039,0.5458,-7.898,14.4713
975.831,-0.7728,0.5709,-0.4854,-0.2368,0.954,-0.1063,6.5675,-4.288,3.3585,-5.6819
1038.4791,-0.8076,0.5683,-1.0448,-0.2235,0.3334,-0.2269,6.9605,-6.7271,10.5413,-2.6434
818.179,-0.5159,-0.3153,-1.7554,-0.9254,0.7152,-0.4603,-3.0903,6.197,2.2418,2.0953
985.1987,-0.6957,2.1248,1.2396,-0.9181,1.9204,0.2181,-8.713,2.6738,0.0894,3.0723
889.027,-2.6357,-1.586,0.3278,0.0034,1.871,-1.7257,5.3232,0.1945,0.5774,3.9214
978.0897,-0.0351,0.2914,1.2905,-0.8539,0.8728,-0.0032,-2.9646,-1.3575,-7.4496,8.729
949.6101,-0.279,-0.0138,0.7904,-0.2798,-0.4931,-0.122,4.0582,-8.6854,7.5911,1.2743
