state,agriculture,mining,utlities,construction,manufacturing,wholesaling,retailing,transport,information,finance,realestate,services,management,administration,education,healthcare,arts,food,other,government
NY,2.717,1.11,20.914,34.088,69.136,53.199,57.345,19.49,80.138,187.234,176.021,103.122,30.163,29.251,17.401,82.58,12.664,26.923,23.497,117.487
NC,3.94,0.553,7.4,16.628,77.956,21.732,24.979,9.308,12.097,39.904,36.688,21.697,9.414,10.928,3.449,26.583,3.066,9.764,8.105,56.001
ND,3.405,1.259,0.842,1.418,2.834,2.162,2.097,1.436,1.002,1.669,2.521,1.065,0.308,0.493,0.114,2.631,0.147,0.757,0.659,4.391
OH,3.324,2.569,10.996,16.262,84.058,30.118,30.282,16.483,12.436,34.716,46.746,28.985,16.218,14.401,3.922,40.212,3.626,11.047,11.009,54.098
OK,1.907,20.943,4.228,5.369,15.746,7.078,9.849,4.675,4.498,6.193,11.338,6.533,2.092,4.75,0.716,9.942,0.935,3.449,3.187,23.021
OR,3.984,0.206,2.389,6.339,30.201,10.514,8.691,4.691,5.42,7.896,21.155,8.626,3.212,4.275,1.174,12.966,1.065,4.24,3.784,20.745
PA,3.447,4.2,15.909,21.928,75.497,33.042,33.339,17.843,20.164,40.264,65.31,43.599,14.995,14.607,10.731,53.603,4.521,12.341,13.938,54.025
RI,0.076,0.046,1.047,1.995,4.65,2.375,2.778,0.709,1.803,5.315,6.986,2.667,1.118,1.175,1.129,4.527,0.455,1.386,1.031,6.095
SC,1.139,0.264,4.708,7.719,25.173,9.0,12.277,3.892,4.313,7.295,16.458,8.171,1.347,6.058,0.908,9.747,1.213,5.677,3.957,27.068
SD,3.472,0.188,0.741,1.323,3.536,2.005,2.518,1.127,0.991,6.477,2.4,1.047,0.387,0.556,0.251,3.247,0.323,1.013,0.808,4.549
TN,1.155,0.696,1.197,9.596,40.594,16.978,20.604,12.792,8.438,14.401,24.327,14.799,3.709,10.643,2.781,22.94,2.599,8.449,6.873,28.556
TX,9.779,138.435,41.738,58.853,158.803,76.378,71.988,41.214,46.334,66.767,104.649,83.341,19.163,38.28,6.468,69.458,7.331,29.443,25.113,129.976
UT,0.584,4.126,1.378,5.343,13.018,5.499,7.956,3.806,3.834,9.474,12.294,7.859,1.964,3.007,1.12,6.177,0.933,2.916,3.311,15.178
VT,0.41,0.144,0.707,1.058,2.901,1.215,2.07,0.556,0.944,1.485,3.141,1.581,0.025,0.525,0.557,2.59,0.22,1.148,0.62,3.542
VA,1.666,2.171,7.838,16.384,34.098,16.531,22.719,9.527,18.82,23.12,50.305,52.606,9.329,10.766,3.228,22.547,2.291,9.764,10.419,72.895
WA,7.037,0.378,3.407,14.711,31.995,19.478,22.661,9.122,25.499,17.078,45.291,21.988,4.348,9.44,1.822,22.457,2.814,8.558,7.755,46.94
WV,0.242,5.684,2.885,2.494,6.617,2.898,4.586,2.195,1.484,2.457,5.14,2.451,0.651,1.286,0.271,5.684,0.525,1.746,1.378,10.977
WI,4.512,0.404,4.326,9.379,48.854,13.648,14.569,7.807,7.326,17.702,27.495,11.264,5.359,5.461,2.056,20.851,1.868,5.503,5.525,26.519
WY,0.365,11.723,1.435,2.154,1.081,1.223,1.886,2.126,0.483,0.899,2.521,1.039,0.099,0.421,0.066,1.414,0.202,1.105,0.578,4.491
