Approved,Credit_Score,Annual_Income,Debt_To_Income_Ratio,Loan_Amount,Employment_Status,Housing_Status,Loan_Purpose
1,630,65500,28,14800,Full-time,Mortgage,Debt consolidation
0,673,36600,42.1,6700,Retired,Mortgage,Debt consolidation
1,670,67400,29.4,24400,Full-time,Rent,Debt consolidation
1,620,55900,41,15800,Full-time,Rent,Debt consolidation
0,650,58800,22.9,19700,Full-time,Rent,Debt consolidation
1,712,52600,30.9,27000,Self-employed,Own,Auto
1,659,49000,20.4,22100,Retired,Mortgage,Home improvement
1,714,35900,15.4,10700,Full-time,Mortgage,Debt consolidation
0,720,26300,62,10900,Part-time,Rent,Auto
0,711,56100,41.3,10700,Self-employed,Own,Auto
0,605,96600,47.9,11500,Self-employed,Own,Home improvement
0,621,73600,28,11300,Full-time,Mortgage,Auto
0,569,18300,42.4,11100,Part-time,Rent,Debt consolidation
0,661,42700,17.9,17900,Part-time,Own,Home improvement
1,720,46400,45.2,21500,Full-time,Mortgage,Auto
0,690,71300,22.6,25100,Self-employed,Rent,Home improvement
1,805,130600,24,19300,Self-employed,Rent,Debt consolidation
0,726,52100,38,29500,Retired,Rent,Debt consolidation
1,680,44900,29.4,33600,Full-time,Rent,Auto
1,623,75700,26.2,17000,Full-time,Rent,Debt consolidation
0,595,34700,42.8,22500,Full-time,Rent,Home improvement
0,686,50200,62,15400,Part-time,Rent,Debt consolidation
1,688,64400,14.9,24000,Full-time,Rent,Debt consolidation
0,618,80500,26.2,12700,Full-time,Rent,Home improvement
1,791,48900,28.8,20600,Part-time,Own,Debt consolidation
0,569,29100,23,17100,Part-time,Rent,Debt consolidation
0,715,65200,23.3,38100,Full-time,Mortgage,Debt consolidation
1,705,88200,41.3,39400,Full-time,Rent,Auto
1,722,62000,55.5,8000,Full-time,Rent,Home improvement
0,677,55000,26.5,11300,Self-employed,Mortgage,Auto
1,793,111100,24.8,21700,Full-time,Rent,Debt consolidation
1,698,83200,40.1,11600,Self-employed,Rent,Auto
0,581,38100,42,18300,Full-time,Rent,Auto
1,690,167100,27.2,24600,Full-time,Own,Auto
0,651,42900,52.8,9000,Full-time,Rent,Home improvement
0,588,22500,47,21300,Retired,Rent,Medical
1,616,59200,36.1,21000,Full-time,Mortgage,Debt consolidation
1,704,76300,40.8,46800,Full-time,Mortgage,Auto
1,669,84200,24.4,31300,Full-time,Own,Debt consolidation
0,620,26100,23.4,6600,Part-time,Rent,Home improvement
0,607,18000,32.2,9500,Part-time,Rent,Home improvement
1,719,66400,28.1,23000,Full-time,Mortgage,Home improvement
0,615,61000,42.1,18600,Self-employed,Rent,Auto
1,723,45200,15.3,18300,Full-time,Rent,Auto
1,704,157500,25.9,71600,Full-time,Mortgage,Debt consolidation
0,713,47200,35.7,12800,Full-time,Rent,Debt consolidation
0,681,79200,20.2,21300,Self-employed,Mortgage,Debt consolidation
0,705,80400,30.9,45400,Self-employed,Own,Debt consolidation
0,648,44200,30.4,11400,Part-time,Rent,Auto
0,658,27600,44.4,10600,Retired,Rent,Home improvement
0,709,49500,42.7,17300,Full-time,Mortgage,Debt consolidation
0,685,56100,18.3,17400,Full-time,Rent,Debt consolidation
1,788,75500,46,35900,Full-time,Mortgage,Home improvement
1,725,72200,42.8,31300,Full-time,Rent,Auto
0,651,75800,41.7,27200,Full-time,Rent,Debt consolidation
1,708,42500,33.6,13300,Full-time,Own,Home improvement
0,736,51100,49.3,29800,Self-employed,Rent,Auto
0,550,25200,40.6,6200,Full-time,Rent,Auto
0,670,81000,38.9,40600,Retired,Own,Home improvement
0,565,48800,32,14300,Full-time,Mortgage,Auto
0,658,29700,26.3,7500,Self-employed,Rent,Home improvement
1,670,97600,9.5,44800,Retired,Mortgage,Auto
1,629,86900,19.3,41100,Full-time,Mortgage,Auto
1,698,74400,19.3,25000,Full-time,Rent,Debt consolidation
0,679,77700,50.8,14100,Full-time,Own,Auto
1,631,84300,32.6,16700,Full-time,Mortgage,Home improvement
0,652,89400,32.2,19300,Full-time,Rent,Auto
0,579,38100,23.4,47200,Full-time,Rent,Home improvement
0,651,68500,55.2,21800,Self-employed,Mortgage,Home improvement
1,666,34700,10.5,12500,Retired,Mortgage,Debt consolidation
1,721,101000,38.7,37500,Full-time,Own,Debt consolidation
1,785,69500,27,18500,Full-time,Rent,Home improvement
1,716,72200,25.7,24400,Full-time,Mortgage,Debt consolidation
0,701,102900,27,20700,Full-time,Own,Debt consolidation
1,608,105600,26.5,28800,Full-time,Own,Debt consolidation
0,673,26300,37.2,6900,Self-employed,Rent,Auto
0,669,29200,12.2,12900,Part-time,Rent,Debt consolidation
0,699,31900,25,18200,Part-time,Rent,Debt consolidation
0,683,48100,51.1,7000,Part-time,Rent,Auto
1,771,101000,50.1,38900,Full-time,Mortgage,Home improvement
0,688,55300,39,12500,Part-time,Own,Medical
0,657,48700,16,10000,Full-time,Own,Auto
0,599,39700,36.3,16600,Retired,Rent,Debt consolidation
1,758,144300,12.1,57900,Full-time,Rent,Auto
1,680,86900,61.7,23400,Full-time,Rent,Auto
1,645,124900,51.8,18900,Full-time,Rent,Debt consolidation
0,633,32000,54.2,13100,Retired,Rent,Auto
0,670,58800,39.2,18800,Self-employed,Rent,Debt consolidation
1,708,44500,26.6,8000,Full-time,Own,Debt consolidation
0,689,62000,51.6,22700,Full-time,Rent,Home improvement
0,673,76400,30.5,17700,Full-time,Mortgage,Auto
1,683,78100,25,18000,Full-time,Own,Debt consolidation
0,680,73300,32.4,14200,Self-employed,Rent,Auto
0,577,33800,32,8400,Retired,Mortgage,Auto
1,651,62600,18.1,13800,Self-employed,Own,Home improvement
0,681,123800,39.3,34500,Full-time,Rent,Debt consolidation
0,647,48300,34.6,7500,Part-time,Mortgage,Home improvement
0,715,89800,24,14400,Full-time,Mortgage,Auto
1,613,60800,36.5,13100,Full-time,Mortgage,Auto
0,673,52000,26.9,16500,Retired,Mortgage,Debt consolidation
0,630,49000,28.4,17900,Full-time,Mortgage,Auto
1,705,87700,14.9,29000,Full-time,Own,Home improvement
0,672,77300,47.9,64000,Self-employed,Rent,Auto
0,666,64900,28.8,15400,Full-time,Mortgage,Home improvement
0,616,78200,29.9,33700,Full-time,Rent,Home improvement
0,743,118000,32,35500,Self-employed,Own,Debt consolidation
1,722,61900,34.1,16000,Full-time,Rent,Home improvement
1,643,90100,34.2,28100,Full-time,Own,Debt consolidation
1,732,33400,38.6,8900,Part-time,Rent,Debt consolidation
1,685,74500,23.6,11300,Full-time,Own,Medical
0,626,23400,23.4,11900,Retired,Rent,Home improvement
0,616,87400,46.3,39800,Self-employed,Own,Home improvement
1,694,71100,39.9,20300,Full-time,Rent,Debt consolidation
0,702,70600,52.5,29000,Full-time,Own,Auto
0,572,91700,33.2,25500,Full-time,Mortgage,Auto
0,707,56300,57.6,9700,Full-time,Rent,Medical
0,712,48600,19.1,19400,Part-time,Rent,Debt consolidation
0,645,32200,45.2,8100,Part-time,Rent,Debt consolidation
0,662,55700,29.2,22300,Full-time,Rent,Medical
0,568,43300,26.7,13900,Full-time,Rent,Home improvement
0,629,30500,29.5,12900,Retired,Rent,Debt consolidation
1,710,54200,28.3,23300,Self-employed,Own,Medical
1,726,89300,40.7,11700,Full-time,Mortgage,Medical
1,728,83400,45.5,21200,Full-time,Mortgage,Auto
0,565,30600,32.7,7000,Full-time,Rent,Home improvement
0,714,50200,15.4,9000,Full-time,Rent,Home improvement
1,695,102100,27.7,24300,Self-employed,Own,Debt consolidation
0,664,90500,42.3,17600,Self-employed,Mortgage,Medical
0,580,43900,21.9,11400,Full-time,Rent,Home improvement
1,698,70300,16.9,28200,Full-time,Rent,Debt consolidation
1,620,59400,28.6,17900,Full-time,Mortgage,Debt consolidation
0,641,43300,13.6,19000,Self-employed,Own,Medical
0,629,51600,44.4,20600,Self-employed,Rent,Debt consolidation
0,665,57600,48.3,25500,Full-time,Mortgage,Auto
1,766,66800,22,29400,Full-time,Own,Debt consolidation
1,729,43200,15.4,29100,Part-time,Rent,Debt consolidation
0,694,35200,32.4,19900,Retired,Rent,Debt consolidation
0,767,54000,40.9,21100,Part-time,Mortgage,Home improvement
1,734,90700,30.8,25500,Full-time,Rent,Auto
0,663,60200,43.1,14300,Self-employed,Rent,Auto
0,647,53400,39.7,25200,Full-time,Rent,Debt consolidation
1,658,54600,31.2,16700,Full-time,Rent,Debt consolidation
0,535,60100,30.8,15600,Full-time,Rent,Medical
0,747,129200,62,34300,Full-time,Own,Debt consolidation
0,675,78800,26.9,61900,Full-time,Rent,Debt consolidation
0,658,67100,30.4,19300,Full-time,Rent,Home improvement
1,650,48000,34.2,9900,Full-time,Rent,Auto
0,610,40400,36.1,9400,Full-time,Rent,Debt consolidation
0,624,20200,28.7,5700,Part-time,Mortgage,Debt consolidation
1,605,39900,34,16800,Full-time,Own,Debt consolidation
0,644,35700,43.9,32900,Part-time,Mortgage,Home improvement
1,628,68800,20.8,21800,Full-time,Own,Auto
1,742,43600,24.5,14300,Part-time,Rent,Auto
1,689,91300,15.3,52900,Self-employed,Mortgage,Auto
0,487,43400,41,8800,Self-employed,Rent,Debt consolidation
0,526,21100,21.1,6900,Part-time,Rent,Auto
0,568,31800,31.1,7500,Full-time,Rent,Debt consolidation
1,722,49400,34.1,15200,Full-time,Mortgage,Debt consolidation
0,597,31900,37.3,10200,Retired,Rent,Debt consolidation
1,615,54300,14,9400,Retired,Mortgage,Home improvement
1,635,91700,24.5,40000,Self-employed,Mortgage,Medical
0,753,104600,40,48900,Full-time,Own,Auto
0,572,52000,23.2,19100,Full-time,Rent,Auto
0,685,38400,18.5,21700,Full-time,Rent,Auto
0,643,60400,40.7,42800,Full-time,Mortgage,Auto
0,583,82300,38.6,13600,Full-time,Own,Auto
1,739,110500,22.6,45100,Full-time,Rent,Medical
1,701,79300,35,21400,Full-time,Mortgage,Auto
0,644,18800,52.1,8500,Part-time,Rent,Medical
1,706,65200,27.4,18800,Full-time,Rent,Auto
1,752,80700,19,23600,Full-time,Mortgage,Debt consolidation
0,513,65300,32.8,39900,Full-time,Mortgage,Medical
0,687,46500,16.6,21700,Self-employed,Rent,Debt consolidation
1,718,45800,27.3,13400,Full-time,Mortgage,Auto
0,670,53100,24.1,20200,Retired,Rent,Home improvement
0,617,121300,27.5,36000,Full-time,Mortgage,Auto
0,654,48700,35.6,16700,Full-time,Rent,Medical
1,811,114700,27.7,45200,Full-time,Mortgage,Home improvement
0,661,60200,24.4,82200,Full-time,Rent,Debt consolidation
0,635,88700,46.3,9800,Full-time,Mortgage,Debt consolidation
1,679,51800,9.2,12900,Full-time,Rent,Auto
0,628,51800,43.5,17500,Self-employed,Rent,Debt consolidation
1,672,32400,17.8,3000,Part-time,Mortgage,Home improvement
0,562,25300,36.3,13900,Part-time,Mortgage,Auto
1,781,133500,40.1,18200,Full-time,Mortgage,Home improvement
1,703,101000,50.9,29700,Full-time,Own,Debt consolidation
1,682,71800,36.2,10900,Self-employed,Own,Home improvement
1,651,41500,17.6,25000,Retired,Own,Medical
0,645,18200,34.2,8500,Part-time,Mortgage,Debt consolidation
0,646,37900,21.9,13800,Retired,Rent,Debt consolidation
1,656,54100,17,29000,Full-time,Mortgage,Medical
0,769,153800,21.5,24900,Self-employed,Own,Debt consolidation
1,674,28200,28.9,7400,Part-time,Rent,Auto
1,678,93500,35.1,46100,Full-time,Rent,Debt consolidation
1,727,71900,19.9,9100,Full-time,Mortgage,Auto
0,722,77300,12.5,13000,Self-employed,Mortgage,Home improvement
0,703,27800,44,16100,Part-time,Rent,Debt consolidation
1,708,47000,35.9,8200,Full-time,Mortgage,Home improvement
1,746,98000,34.6,19600,Full-time,Mortgage,Debt consolidation
1,761,66800,37.9,13500,Full-time,Mortgage,Auto
0,625,66300,28.2,41000,Full-time,Mortgage,Debt consolidation
0,637,38500,45.8,17900,Retired,Rent,Debt consolidation
1,666,45100,36,27300,Full-time,Rent,Medical
1,690,119100,45.8,22700,Full-time,Mortgage,Debt consolidation
1,698,86200,15.6,43400,Full-time,Own,Home improvement
1,755,117700,41.9,25800,Full-time,Mortgage,Auto
1,718,26500,36.4,10900,Part-time,Rent,Home improvement
1,642,52200,22.6,10800,Full-time,Rent,Home improvement
0,632,35000,18.3,8100,Full-time,Rent,Medical
0,635,27600,38.7,17800,Retired,Rent,Debt consolidation
0,735,41600,50.3,24900,Retired,Rent,Debt consolidation
0,564,70200,28.8,19600,Full-time,Mortgage,Auto
1,661,94400,21.7,26700,Full-time,Mortgage,Debt consolidation
1,630,40800,36.9,4100,Full-time,Own,Medical
1,746,131100,40.1,29400,Self-employed,Own,Home improvement
0,701,41600,28.5,6600,Part-time,Mortgage,Medical
1,706,69200,30.7,17300,Full-time,Rent,Home improvement
1,677,80700,22.6,20200,Self-employed,Mortgage,Debt consolidation
0,671,26200,23,6900,Part-time,Rent,Auto
0,697,36400,20.4,19400,Full-time,Mortgage,Home improvement
0,614,61200,33.1,17400,Full-time,Mortgage,Home improvement
0,552,18000,25,11500,Part-time,Rent,Auto
0,613,47300,52.1,13600,Full-time,Mortgage,Auto
0,678,76600,48.7,39900,Full-time,Rent,Debt consolidation
1,765,121500,27.6,28300,Self-employed,Mortgage,Auto
1,750,54400,51.2,15200,Full-time,Rent,Debt consolidation
1,604,29300,21.5,8400,Retired,Rent,Home improvement
0,720,51800,34.7,10800,Self-employed,Mortgage,Debt consolidation
1,737,58700,17.1,16600,Part-time,Rent,Auto
1,717,87100,21.2,22000,Full-time,Mortgage,Home improvement
0,622,102100,39.4,20500,Full-time,Rent,Auto
0,591,49300,47.9,28400,Self-employed,Rent,Home improvement
0,637,39700,17.7,18300,Full-time,Rent,Home improvement
0,682,81000,9,71200,Full-time,Own,Home improvement
0,612,27900,43.1,6500,Part-time,Rent,Debt consolidation
1,739,39700,14.4,14500,Full-time,Own,Home improvement
1,634,92700,31.8,13300,Full-time,Mortgage,Home improvement
1,680,50200,18.3,22300,Part-time,Own,Debt consolidation
1,745,114100,55.9,20700,Full-time,Own,Debt consolidation
1,774,87600,50.1,19800,Self-employed,Rent,Home improvement
0,579,34700,32.6,17400,Retired,Rent,Home improvement
0,633,64400,52.2,33600,Full-time,Rent,Debt consolidation
0,666,29300,21.7,8900,Retired,Rent,Auto
0,584,36900,28.9,13400,Full-time,Rent,Home improvement
0,538,43400,18.5,17500,Full-time,Mortgage,Auto
0,623,85600,49,42500,Full-time,Own,Debt consolidation
0,643,37900,40.9,10600,Part-time,Mortgage,Debt consolidation
0,628,49300,37.3,16100,Self-employed,Rent,Home improvement
0,599,59900,39.2,16300,Full-time,Rent,Debt consolidation
0,764,42300,33.9,12700,Part-time,Rent,Home improvement
0,696,89500,21,25500,Full-time,Own,Auto
0,668,111300,38.5,30000,Full-time,Mortgage,Auto
0,673,67600,47.1,27400,Self-employed,Own,Debt consolidation
0,600,32000,19.6,32800,Full-time,Mortgage,Home improvement
0,673,56900,51.2,16900,Full-time,Rent,Home improvement
0,598,38700,22.6,18400,Retired,Rent,Debt consolidation
0,720,42800,13,18200,Retired,Own,Medical
0,641,38300,40.5,10400,Retired,Mortgage,Debt consolidation
1,748,88000,24.5,23100,Full-time,Own,Medical
0,628,33800,28,12600,Self-employed,Own,Auto
0,667,36000,17.2,36600,Retired,Rent,Medical
0,584,35700,28,12500,Part-time,Rent,Auto
1,782,92000,12.8,23000,Full-time,Mortgage,Auto
1,647,157600,23.1,25900,Full-time,Own,Debt consolidation
1,612,72500,47.1,18200,Full-time,Mortgage,Debt consolidation
0,592,53200,25.3,20300,Full-time,Rent,Home improvement
1,726,63400,30.3,11900,Retired,Mortgage,Auto
1,744,44500,23.6,16000,Full-time,Mortgage,Debt consolidation
0,643,87500,39.5,23800,Full-time,Mortgage,Medical
1,666,51700,34.2,16100,Full-time,Rent,Debt consolidation
1,617,27000,17.6,20600,Self-employed,Rent,Medical
0,675,65300,35.9,21700,Part-time,Rent,Medical
0,666,30500,43,19000,Part-time,Rent,Debt consolidation
1,722,69900,42.5,19100,Full-time,Own,Debt consolidation
1,771,45400,26.1,17200,Full-time,Rent,Debt consolidation
1,675,67700,15.9,15000,Full-time,Mortgage,Medical
1,667,70200,30.4,10700,Full-time,Own,Debt consolidation
1,659,98100,15.3,8800,Full-time,Rent,Debt consolidation
0,695,68100,34.5,28300,Retired,Own,Debt consolidation
0,651,62200,32.6,24600,Self-employed,Own,Debt consolidation
0,708,58400,11,28100,Self-employed,Mortgage,Debt consolidation
1,677,93900,32.5,29500,Full-time,Rent,Debt consolidation
0,656,20100,57.2,13800,Part-time,Rent,Home improvement
0,665,66000,54.9,15800,Full-time,Rent,Home improvement
0,691,46900,39.4,11100,Self-employed,Mortgage,Debt consolidation
1,656,37000,22.5,16500,Retired,Own,Home improvement
1,683,137700,25.4,20300,Full-time,Mortgage,Auto
0,524,70500,21.6,38900,Full-time,Rent,Debt consolidation
0,561,27100,56.4,4900,Full-time,Mortgage,Home improvement
1,638,131800,23.4,58300,Full-time,Rent,Home improvement
1,706,34800,35,14600,Retired,Rent,Auto
1,698,48400,37,29200,Part-time,Mortgage,Debt consolidation
1,595,128100,40.5,19800,Full-time,Mortgage,Debt consolidation
1,642,117400,37.4,23600,Full-time,Own,Home improvement
0,693,57300,32.8,9700,Full-time,Mortgage,Home improvement
0,577,61200,37.5,9400,Full-time,Own,Auto
0,665,71200,48,6500,Full-time,Own,Auto
0,682,73800,37.2,21700,Full-time,Own,Medical
0,626,29700,27,14400,Part-time,Mortgage,Auto
1,657,109800,42.1,20500,Full-time,Own,Auto
1,645,67700,24,16900,Full-time,Own,Medical
1,717,86700,32,47800,Full-time,Own,Home improvement
1,673,51200,23.5,18100,Self-employed,Rent,Auto
1,709,111000,35.9,29300,Full-time,Mortgage,Auto
0,539,22700,18.2,17700,Part-time,Mortgage,Auto
1,668,65900,36.1,18500,Full-time,Own,Medical
0,567,22700,31,6800,Part-time,Rent,Home improvement
0,615,55800,31.4,17500,Part-time,Rent,Auto
1,728,90100,38.4,31400,Full-time,Mortgage,Medical
0,698,34200,32.7,17700,Part-time,Rent,Auto
0,692,124600,25.2,55200,Full-time,Own,Auto
0,642,81100,52.7,13200,Self-employed,Rent,Auto
1,721,99100,30.4,28700,Full-time,Mortgage,Debt consolidation
1,685,116000,11.2,73000,Full-time,Rent,Home improvement
1,717,72400,29.3,12600,Part-time,Rent,Home improvement
0,675,65600,37.4,13500,Full-time,Rent,Home improvement
1,727,60600,26,17400,Full-time,Rent,Debt consolidation
0,658,65700,32.5,15500,Retired,Rent,Medical
0,657,80200,16.9,29800,Self-employed,Rent,Home improvement
0,639,59100,32.6,31200,Self-employed,Rent,Debt consolidation
0,639,73000,34.8,33100,Full-time,Rent,Auto
0,637,145900,22.2,45700,Full-time,Own,Auto
1,723,185500,19.2,64600,Self-employed,Own,Debt consolidation
0,668,71100,46.5,18600,Full-time,Mortgage,Debt consolidation
1,668,157300,20.7,19100,Self-employed,Own,Debt consolidation
0,671,35400,32.8,17200,Full-time,Rent,Medical
0,633,52700,55.8,12900,Self-employed,Rent,Auto
1,650,113600,28,21300,Full-time,Own,Medical
1,709,83500,31.8,21000,Full-time,Mortgage,Auto
1,724,46600,39.7,29700,Part-time,Mortgage,Home improvement
0,592,73800,26.3,8100,Full-time,Mortgage,Home improvement
1,685,61800,40.2,18300,Full-time,Rent,Home improvement
1,674,38000,27.7,12400,Full-time,Rent,Debt consolidation
0,669,96000,32.4,20800,Self-employed,Own,Medical
0,541,24000,49.6,12800,Part-time,Mortgage,Auto
0,656,48300,39.3,25800,Full-time,Rent,Debt consolidation
1,703,105500,18,30400,Full-time,Own,Auto
1,663,70900,27.3,17100,Self-employed,Mortgage,Medical
1,698,90500,30.6,16100,Full-time,Mortgage,Auto
0,623,81400,46,23100,Full-time,Own,Medical
1,659,64700,15.3,28000,Full-time,Rent,Debt consolidation
0,739,107700,30.8,14900,Full-time,Mortgage,Debt consolidation
0,710,84600,28.7,20900,Self-employed,Mortgage,Auto
1,668,95100,35.1,30800,Full-time,Own,Home improvement
0,704,69000,27.8,20700,Full-time,Rent,Medical
1,666,74300,15.8,20800,Full-time,Mortgage,Debt consolidation
0,675,93400,49.7,46200,Full-time,Mortgage,Debt consolidation
1,711,66800,35.8,11700,Full-time,Rent,Home improvement
0,679,50300,23.7,13100,Full-time,Mortgage,Medical
0,702,43300,33.3,23600,Self-employed,Mortgage,Home improvement
1,680,79200,13.6,21800,Self-employed,Own,Auto
1,634,96300,35.4,21200,Full-time,Rent,Home improvement
0,642,44400,37.5,22700,Retired,Rent,Debt consolidation
1,679,23000,32.9,10700,Part-time,Rent,Debt consolidation
1,690,93900,18.2,16500,Full-time,Mortgage,Auto
1,749,142400,32.2,36900,Full-time,Mortgage,Debt consolidation
1,702,62700,30.1,18800,Full-time,Own,Auto
1,683,52600,16.7,30500,Retired,Mortgage,Home improvement
0,701,58600,27.3,22700,Full-time,Rent,Home improvement
1,759,68000,17.5,37800,Full-time,Rent,Auto
0,649,33000,20.1,11100,Self-employed,Rent,Medical
1,753,60500,8.9,21500,Self-employed,Mortgage,Debt consolidation
1,615,46700,18.4,32700,Full-time,Mortgage,Auto
0,642,31600,15,16000,Retired,Rent,Home improvement
1,702,68800,47.3,33600,Full-time,Rent,Home improvement
0,682,90500,38.2,30200,Full-time,Rent,Debt consolidation
1,645,71000,32.2,14900,Full-time,Rent,Auto
1,760,75100,39.9,27200,Full-time,Rent,Auto
1,750,69300,32.5,26600,Full-time,Rent,Debt consolidation
1,678,54300,40.3,16400,Full-time,Own,Auto
1,698,60300,28,42800,Full-time,Mortgage,Debt consolidation
0,678,29500,50.4,22300,Self-employed,Mortgage,Debt consolidation
1,757,45800,37.1,18700,Self-employed,Own,Debt consolidation
1,666,89700,42,46400,Full-time,Own,Debt consolidation
0,661,55400,52.9,20000,Full-time,Rent,Debt consolidation
1,689,56900,28.9,14900,Full-time,Mortgage,Auto
1,764,137200,34.9,9000,Full-time,Mortgage,Debt consolidation
0,644,66600,30.5,15500,Self-employed,Mortgage,Debt consolidation
1,683,103600,17.6,20300,Full-time,Mortgage,Home improvement
0,704,71700,37.9,17400,Full-time,Rent,Home improvement
0,704,92500,56.4,16400,Full-time,Rent,Home improvement
0,569,32300,56.8,13800,Self-employed,Rent,Home improvement
1,682,89400,28.3,29500,Full-time,Rent,Debt consolidation
1,742,68600,28.1,23500,Full-time,Own,Debt consolidation
0,687,39300,19.6,21200,Full-time,Mortgage,Home improvement
1,609,35200,14.6,9700,Part-time,Rent,Home improvement
1,689,41400,17.1,17400,Part-time,Rent,Auto
0,706,75700,50.1,14300,Full-time,Rent,Medical
0,663,48200,19.6,12400,Self-employed,Rent,Home improvement
1,685,54800,29.4,8600,Full-time,Rent,Home improvement
0,625,50600,34.3,9100,Self-employed,Mortgage,Auto
1,664,67400,25.6,13500,Full-time,Own,Debt consolidation
0,682,77900,21.5,8700,Full-time,Rent,Medical
0,654,46700,28.4,26800,Full-time,Rent,Debt consolidation
0,636,74800,42.4,17700,Full-time,Own,Home improvement
0,634,81500,34.9,23800,Self-employed,Mortgage,Auto
0,557,21400,21.9,8000,Part-time,Mortgage,Auto
1,714,74700,41.9,10800,Full-time,Own,Auto
1,736,165300,29.9,30000,Self-employed,Own,Auto
1,654,69800,17.8,14100,Full-time,Rent,Auto
0,526,34400,28,16300,Retired,Rent,Debt consolidation
0,560,39300,46.8,14600,Part-time,Mortgage,Debt consolidation
1,688,53500,14.9,25100,Full-time,Rent,Auto
0,678,38500,26.4,15700,Self-employed,Mortgage,Debt consolidation
1,713,97400,36.4,37500,Full-time,Mortgage,Debt consolidation
0,705,117100,45,22100,Full-time,Mortgage,Debt consolidation
1,584,42100,17.3,15400,Retired,Rent,Debt consolidation
0,651,62300,48.5,21500,Self-employed,Own,Debt consolidation
0,649,118100,23.9,38800,Full-time,Rent,Medical
0,639,54000,35.9,18000,Full-time,Rent,Debt consolidation
0,649,53400,52.4,12200,Full-time,Own,Debt consolidation
1,648,59400,24,37500,Full-time,Mortgage,Home improvement
0,672,23000,25.6,12200,Full-time,Own,Debt consolidation
1,705,43400,37.4,13900,Full-time,Mortgage,Medical
1,690,97600,44.9,12600,Full-time,Own,Debt consolidation
0,631,24000,44.6,6800,Self-employed,Rent,Debt consolidation
1,685,45800,33.3,25000,Self-employed,Mortgage,Debt consolidation
1,771,80200,60.3,9900,Full-time,Own,Home improvement
1,677,50200,27.2,17300,Full-time,Mortgage,Home improvement
1,614,59100,25.8,8500,Full-time,Rent,Auto
1,634,46800,42.2,14200,Part-time,Own,Home improvement
0,722,85100,28.9,34000,Retired,Own,Auto
1,726,88500,15.1,21400,Full-time,Own,Debt consolidation
0,708,45400,42.1,13800,Part-time,Rent,Debt consolidation
1,769,129100,25.2,19300,Full-time,Mortgage,Debt consolidation
0,608,74300,29.7,25300,Self-employed,Own,Debt consolidation
0,746,84600,23.7,13300,Self-employed,Rent,Debt consolidation
0,493,43700,43.8,24500,Full-time,Own,Medical
0,637,74400,20.9,33500,Full-time,Mortgage,Debt consolidation
1,627,95100,20.7,21800,Full-time,Own,Home improvement
1,672,135200,31.7,26600,Full-time,Own,Debt consolidation
0,682,68500,47.3,13400,Self-employed,Rent,Debt consolidation
0,681,42800,28.4,37000,Full-time,Mortgage,Home improvement
1,647,45600,44.1,10300,Full-time,Mortgage,Auto
1,721,93300,26.4,26400,Full-time,Mortgage,Debt consolidation
1,695,93500,27.5,26300,Full-time,Rent,Debt consolidation
